4431, 1, swing up, -2.32, 1.27, -2.35, 1.32, 3.96, -8.31, -0.08, -254.07
4438, 1, swing up, -2.30, 1.21, -2.32, 1.27, 4.03, -8.50, -0.08, -254.06
4444, 1, swing up, -2.28, 1.16, -2.30, 1.21, 3.45, -7.62, -0.08, -254.09
4450, 1, swing up, -2.25, 1.11, -2.28, 1.16, 3.83, -8.69, -0.08, -254.06
4456, 1, swing up, -2.23, 1.06, -2.25, 1.11, 3.18, -7.23, -0.08, -254.10
4462, 1, swing up, -2.21, 1.00, -2.23, 1.06, 3.96, -9.08, -0.08, -254.04
4469, 1, swing up, -2.19, 0.96, -2.21, 1.00, 3.32, -8.05, -0.08, -254.07
4475, 1, swing up, -2.17, 0.90, -2.19, 0.96, 3.52, -9.01, -0.08, -254.05
4482, 1, swing up, -2.15, 0.85, -2.17, 0.90, 2.79, -7.18, -0.08, -254.10
4488, 1, swing up, -2.13, 0.80, -2.15, 0.85, 3.26, -8.88, -0.08, -254.05
4494, 1, swing up, -2.11, 0.75, -2.13, 0.80, 3.13, -8.69, -0.08, -254.06
4500, 1, swing up, -2.09, 0.69, -2.11, 0.75, 2.63, -7.89, -0.08, -254.08
4506, 1, swing up, -2.07, 0.64, -2.09, 0.69, 2.81, -8.44, -0.07, -254.06
4512, 1, swing up, -2.05, 0.59, -2.07, 0.64, 2.94, -9.01, -0.07, -254.05
4519, 1, swing up, -2.04, 0.53, -2.05, 0.59, 2.62, -8.50, -0.07, -254.06
4526, 1, swing up, -2.02, 0.48, -2.04, 0.53, 2.30, -7.67, -0.07, -254.08
4532, 1, swing up, -2.01, 0.43, -2.02, 0.48, 2.43, -8.44, -0.07, -254.06
4538, 1, swing up, -1.99, 0.38, -2.01, 0.43, 2.17, -8.69, -0.07, -254.06
4544, 1, swing up, -1.98, 0.32, -1.99, 0.38, 1.86, -7.62, -0.07, -254.09
4550, 1, swing up, -1.97, 0.27, -1.98, 0.32, 2.11, -9.14, -0.07, -254.04
4556, 1, swing up, -1.96, 0.22, -1.97, 0.27, 1.85, -8.95, -0.07, -254.05
4563, 1, swing up, -1.95, 0.16, -1.96, 0.22, 1.73, -9.01, -0.07, -254.05
4570, 1, swing up, -1.94, 0.11, -1.95, 0.16, 1.26, -7.78, -0.07, -254.08
4576, 1, swing up, -1.93, 0.05, -1.94, 0.11, 1.34, -9.01, -0.07, -254.05
4582, 1, swing up, -1.92, -0.00, -1.93, 0.05, 1.21, -9.52, -0.07, -254.03
4588, 1, swing up, -1.92, -0.06, -1.92, -0.00, 1.10, -8.33, -0.07, -254.07
4595, 1, swing up, -1.91, -0.12, -1.92, -0.06, 1.15, -10.03, -0.07, -254.02
4601, 1, swing up, -1.90, -0.18, -1.91, -0.12, 1.09, -10.16, -0.07, -254.01
4608, 1, swing up, -1.90, -0.24, -1.90, -0.18, 0.62, -7.48, -0.07, -254.09
4615, 1, swing up, -1.89, -0.30, -1.90, -0.24, 0.70, -10.29, -0.07, -254.01
4621, 1, swing up, -1.89, -0.37, -1.89, -0.30, 0.45, -10.42, -0.07, -254.01
4627, 1, swing up, -1.89, -0.43, -1.89, -0.37, 0.22, -9.26, -0.07, -254.04
4634, 1, swing up, -1.89, -0.50, -1.89, -0.43, 0.13, -10.87, -0.07, -253.99
4640, 1, swing up, -1.89, -0.56, -1.89, -0.50, 0.11, -9.26, -0.07, -254.04
4646, 1, swing up, -1.89, -0.62, -1.89, -0.56, -0.45, -10.16, -0.07, 254.58
4654, 1, swing up, -1.89, -0.69, -1.89, -0.62, 0.38, -10.24, -0.07, -254.01
4660, 1, swing up, -1.90, -0.74, -1.89, -0.69, -1.81, -6.52, -0.07, 254.48
4667, 1, swing up, -1.88, -0.84, -1.90, -0.74, 3.07, -17.07, -0.07, -253.82
4673, 1, swing up, -1.91, -0.86, -1.88, -0.84, -5.18, -3.71, -0.07, 254.40
4679, 1, swing up, -1.89, -0.98, -1.91, -0.86, 3.51, -16.71, -0.07, -253.83
4686, 1, swing up, -1.93, -0.99, -1.89, -0.98, -6.97, -1.41, -0.07, 254.34
4692, 1, swing up, -1.90, -1.11, -1.93, -0.99, 4.73, -20.77, -0.07, -253.72
4699, 1, swing up, -1.95, -1.12, -1.90, -1.11, -5.75, -0.24, -0.07, 254.31
4706, 1, swing up, -1.92, -1.25, -1.95, -1.12, 5.05, -21.92, -0.07, -253.69
4712, 1, swing up, -1.97, -1.24, -1.92, -1.25, -8.44, 0.83, -0.07, 254.28
4718, 1, swing up, -1.94, -1.38, -1.97, -1.24, 4.49, -19.50, -0.07, -253.75
4725, 1, swing up, -1.99, -1.37, -1.94, -1.38, -8.88, 2.05, -0.07, 254.24
4731, 1, swing up, -1.96, -1.50, -1.99, -1.37, 5.18, -22.88, -0.07, -253.66
4738, 1, swing up, -2.01, -1.49, -1.96, -1.50, -6.90, 2.01, -0.07, 254.24
4745, 1, swing up, -1.98, -1.63, -2.01, -1.49, 4.99, -23.65, -0.07, -253.64
4753, 1, swing up, -2.04, -1.64, -1.98, -1.63, -26.84, -7.09, -0.03, 254.50
4759, 1, swing up, -2.02, -1.76, -2.04, -1.64, 2.88, -19.49, -0.07, -253.75
4765, 1, swing up, -2.07, -1.76, -2.02, -1.76, -7.40, 0.22, -0.07, 254.29
4772, 1, swing up, -2.05, -1.89, -2.07, -1.76, 4.03, -21.54, -0.07, -253.70
4779, 1, swing up, -2.11, -1.87, -2.05, -1.89, -9.91, 2.49, -0.07, 254.23
4785, 1, swing up, -2.08, -2.01, -2.11, -1.87, 3.31, -17.35, -0.07, -253.81
4792, 1, swing up, -2.14, -2.00, -2.08, -2.01, -10.29, 2.88, -0.07, 254.22
4798, 1, swing up, -2.12, -2.13, -2.14, -2.00, 4.28, -22.95, -0.08, -253.66
4804, 1, swing up, -2.18, -2.12, -2.12, -2.13, -8.44, 1.42, -0.08, 254.26
4811, 1, swing up, -2.16, -2.25, -2.18, -2.12, 3.45, -21.35, -0.08, -253.70
4817, 1, swing up, -2.21, -2.25, -2.16, -2.25, -8.82, -0.06, -0.08, 254.30
4824, 1, swing up, -2.20, -2.36, -2.21, -2.25, 1.49, -13.85, -0.08, -253.91
4831, 1, swing up, -2.24, -2.38, -2.20, -2.36, -7.29, -3.00, -0.08, 254.38
4837, 1, swing up, -2.24, -2.48, -2.24, -2.38, -0.06, -16.30, -0.08, 254.75
4843, 1, swing up, -2.27, -2.51, -2.24, -2.48, -4.55, -4.82, -0.08, 254.43
4850, 1, swing up, -2.29, -2.57, -2.27, -2.51, -3.20, -10.29, -0.08, 254.59
4856, 1, swing up, -2.30, -2.65, -2.29, -2.57, -1.73, -12.02, -0.08, 254.63
4862, 1, swing up, -2.34, -2.67, -2.30, -2.65, -5.81, -3.67, -0.08, 254.40
4870, 1, swing up, -2.34, -2.76, -2.34, -2.67, -0.27, -11.83, -0.09, 254.63
